Index,Dato,Øvelse,DagensE1RM,AntalDatoAntalØvelse,ForrigeDato,ForrigeE1RM,Delta,PRTjek,Forrige2E1RM,MomentumBaseline,MomentumDelta,MomentumKey,PRFlag
60,27/02/2026 00.00,Dødløft,159.5,,25/02/2026 00.00,154.0,5.5,,154.0,154.0,,,FALSK
61,4/3/2026,Squat,150.0,,27/02/2026 00.00,145.8,4.2,PR,145.8,145.8,,,SAND
62,4/3/2026,Bænkpres,90.7,,27/02/2026 00.00,92.1,-1.5,,88.0,90.1,0.0,0,FALSK
63,4/3/2026,Dødløft,,,27/02/2026 00.00,159.5,,,154.0,156.8,1.0,0,
64,6/3/2026,Squat,,,04/03/2026 00.00,150.0,,,145.8,147.9,-30.0,-1,
65,6/3/2026,Bænkpres,92.1,,04/03/2026 00.00,90.7,1.5,,92.1,91.4,-2.1,-1,FALSK
66,6/3/2026,Dødløft,,,04/03/2026 00.00,159.5,,,159.5,159.5,,,
67,13/3/2026,Squat,,,06/03/2026 00.00,150.0,,,150.0,150.0,,,
68,13/3/2026,Bænkpres,93.5,,06/03/2026 00.00,92.1,1.4,,90.7,91.4,2.1,1,SAND
69,13/3/2026,Dødløft,163.3,,06/03/2026 00.00,159.5,3.8,,159.5,159.5,-7.0,-1,FALSK
70,18/3/2026,Squat,,,13/03/2026 00.00,150.0,,,150.0,150.0,,,
71,18/3/2026,Bænkpres,96.3,,13/03/2026 00.00,93.5,2.8,,92.1,92.8,1.4,1,SAND
72,18/3/2026,Dødløft,,,13/03/2026 00.00,163.3,,,159.5,161.4,8.3,1,
73,20/3/2026,Squat,,,18/03/2026 00.00,150.0,,,150.0,150.0,0.3,0,
74,20/3/2026,Bænkpres,94.9,,18/03/2026 00.00,96.3,-1.3,,93.5,94.9,-5.7,-1,FALSK
75,20/3/2026,Dødløft,164.3,,18/03/2026 00.00,163.3,1.0,,163.3,163.3,,,FALSK
76,25/3/2026,Squat,120.0,,20/03/2026 00.00,150.0,-30.0,,150.0,150.0,0.2,0,FALSK
77,25/3/2026,Bænkpres,93.5,,20/03/2026 00.00,94.9,-1.4,,96.3,95.6,,,FALSK
